protocolo;data;email;categoria;status;tempo_minutos;descricao
SUP-2026-0086;07-07-2026;aluno86@example.com;senha;aberto;104; Solicitação de suporte número 86  
SUP-2026-0087;2026/07/08;aluno87@example.com;python;RESOLVIDO;78; Solicitação de suporte número 87  
SUP-2026-0088;09/07/2026;aluno88@example.com;senha;RESOLVIDO;44; Solicitação de suporte número 88  
SUP-2026-0089;2026-07-10;aluno89@example.com;SOFTWARE;resolvido;60; Solicitação de suporte número 89  
SUP-2026-0090;;aluno90@example.com;ava;aberto;85; Solicitação de suporte número 90  
SUP-2026-0091;2026/07/12;aluno91@example.com;ava;aberto;154; Solicitação de suporte número 91  
SUP-2026-0092;13/07/2026;aluno92@example.com;PASSWORD;em andamento;19; Solicitação de suporte número 92  
SUP-2026-0093;2026-07-14;aluno93@example.com;atividade;aberto;52; Solicitação de suporte número 93  
SUP-2026-0094;15-07-2026;aluno94@example.com;Ambiente Virtual;aberto;177; Solicitação de suporte número 94  
SUP-2026-0095;2026/07/16;aluno95@example.com;SOFTWARE;RESOLVIDO;35; Solicitação de suporte número 95  
SUP-2026-0096;17/07/2026;aluno96@example.com;Execução;em andamento;153; Solicitação de suporte número 96  
SUP-2026-0097;2026-07-18;aluno97@example.com;Execução;aberto;163; Solicitação de suporte número 97  
SUP-2026-0098;19-07-2026;aluno98@example.com;Ambiente Virtual;RESOLVIDO;173; Solicitação de suporte número 98  
SUP-2026-0099;2026/07/20;aluno99@example.com;Execução;resolvido;71; Solicitação de suporte número 99  
SUP-2026-0100;21/07/2026;aluno100@example.com;SOFTWARE;resolvido;2000; Solicitação de suporte número 100  
SUP-2026-0101;2026-07-22;aluno101@example.com;python;RESOLVIDO;38; Solicitação de suporte número 101  
SUP-2026-0102;23-07-2026;aluno102@example.com;python;RESOLVIDO;85; Solicitação de suporte número 102  
SUP-2026-0103;2026/07/24;aluno103@example.com;Ambiente Virtual;aberto;122; Solicitação de suporte número 103  
SUP-2026-0104;25/07/2026;aluno104@example.com;Execução;aberto;23; Solicitação de suporte número 104  
SUP-2026-0105;2026-07-26;aluno105@example.com;atividade;em andamento;134; Solicitação de suporte número 105  
SUP-2026-0106;27-07-2026;aluno106@example.com;python;em andamento;94; Solicitação de suporte número 106  
SUP-2026-0107;2026/07/28;aluno107@example.com;Ambiente Virtual;em andamento;99; Solicitação de suporte número 107  
SUP-2026-0108;29/07/2026;aluno108@example.com;python;em andamento;117; Solicitação de suporte número 108  
SUP-2026-0109;2026-07-30;aluno109@example.com;atividade;resolvido;161; Solicitação de suporte número 109  
SUP-2026-0110;31-07-2026;aluno110@example.com;;aberto;175; Solicitação de suporte número 110  
SUP-2026-0111;2026/08/01;aluno111@example.com;atividade;resolvido;174; Solicitação de suporte número 111  
SUP-2026-0112;02/08/2026;aluno112@example.com;Ambiente Virtual;em andamento;72; Solicitação de suporte número 112  
SUP-2026-0113;2026-08-03;aluno113@example.com;Ambiente Virtual;aberto;146; Solicitação de suporte número 113  
SUP-2026-0114;04-08-2026;aluno114@example.com;instalação;resolvido;77; Solicitação de suporte número 114  
SUP-2026-0115;2026/08/05;aluno115@example.com;Execução;em andamento;92; Solicitação de suporte número 115  
SUP-2026-0116;06/08/2026;aluno116@example.com;SOFTWARE;resolvido;134; Solicitação de suporte número 116  
SUP-2026-0117;2026-08-07;aluno117@example.com;PASSWORD;resolvido;18; Solicitação de suporte número 117  
SUP-2026-0118;08-08-2026;aluno118@example.com;Ambiente Virtual;RESOLVIDO;75; Solicitação de suporte número 118  
SUP-2026-0119;2026/08/09;aluno119@example.com;ava;aberto;90; Solicitação de suporte número 119  
SUP-2026-0120;01/07/2026;nome@dominio;instalação;resolvido;46; Solicitação de suporte número 120  
SUP-2026-0121;2026-07-02;aluno121@example.com;PASSWORD;RESOLVIDO;148; Solicitação de suporte número 121  
SUP-2026-0122;03-07-2026;aluno122@example.com;ava;aberto;24; Solicitação de suporte número 122  
SUP-2026-0123;2026/07/04;aluno123@example.com;instalação;aberto;99; Solicitação de suporte número 123  
SUP-2026-0124;05/07/2026;aluno124@example.com;Execução;em andamento;115; Solicitação de suporte número 124  
SUP-2026-0125;2026-07-06;aluno125@example.com;instalação;aberto;83; Solicitação de suporte número 125  
SUP-2026-0126;07-07-2026;aluno126@example.com;Config Python;aberto;96; Solicitação de suporte número 126  
SUP-2026-0127;2026/07/08;aluno127@example.com;SOFTWARE;em andamento;175; Solicitação de suporte número 127  
SUP-2026-0128;09/07/2026;aluno128@example.com;Ambiente Virtual;resolvido;148; Solicitação de suporte número 128  
SUP-2026-0129;2026-07-10;aluno129@example.com;senha;em andamento;65; Solicitação de suporte número 129  
SUP-2026-0130;11-07-2026;aluno130@example.com;instalação;em andamento;110; Solicitação de suporte número 130  
SUP-2026-0131;2026/07/12;aluno131@example.com;ava;em andamento;90; Solicitação de suporte número 131  
SUP-2026-0132;13/07/2026;aluno132@example.com;senha;em andamento;73; Solicitação de suporte número 132  
SUP-2026-0133;2026-07-14;aluno133@example.com;instalação;aberto;102; Solicitação de suporte número 133  
SUP-2026-0134;15-07-2026;aluno134@example.com;ava;RESOLVIDO;61; Solicitação de suporte número 134  
SUP-2026-0135;2026/07/16;aluno135@example.com;SOFTWARE;RESOLVIDO;94; Solicitação de suporte número 135  
SUP-2026-0136;17/07/2026;aluno136@example.com;python;em andamento;62; Solicitação de suporte número 136  
SUP-2026-0137;2026-07-18;aluno137@example.com;ava;em andamento;107; Solicitação de suporte número 137  
SUP-2026-0138;19-07-2026;aluno138@example.com;Config Python;resolvido;22; Solicitação de suporte número 138  
SUP-2026-0139;2026/07/20;aluno139@example.com;python;resolvido;169; Solicitação de suporte número 139  
SUP-2026-0140;21/07/2026;aluno140@example.com;atividade;RESOLVIDO;178; Solicitação de suporte número 140  
SUP-2026-0141;2026-07-22;aluno141@example.com;atividade;resolvido;12; Solicitação de suporte número 141  
SUP-2026-0142;23-07-2026;aluno142@example.com;Ambiente Virtual;resolvido;50; Solicitação de suporte número 142  
SUP-2026-0143;2026/07/24;aluno143@example.com;Execução;resolvido;14; Solicitação de suporte número 143  
SUP-2026-0144;25/07/2026;aluno144@example.com;Ambiente Virtual;RESOLVIDO;93; Solicitação de suporte número 144  
SUP-2026-0145;2026-07-26;aluno145@example.com;Config Python;RESOLVIDO;160; Solicitação de suporte número 145  
SUP-2026-0146;27-07-2026;aluno146@example.com;atividade;aberto;103; Solicitação de suporte número 146  
SUP-2026-0147;2026/07/28;aluno147@example.com;Execução;em andamento;70; Solicitação de suporte número 147  
SUP-2026-0148;29/07/2026;aluno148@example.com;ava;RESOLVIDO;5; Solicitação de suporte número 148  
SUP-2026-0149;2026-07-30;aluno149@example.com;atividade;em andamento;98; Solicitação de suporte número 149  
SUP-2026-0150;31-07-2026;aluno150@example.com;senha;aberto;175; Solicitação de suporte número 150  
