protocolo;data;email;categoria;status;tempo_minutos;descricao;tempo_normalizado
SUP-2026-0129;2026-07-10;aluno129@example.com;Senha;em andamento;65;Solicitação de suporte número 129;0.0301
SUP-2026-0130;2026-07-11;aluno130@example.com;Instalação de programas;em andamento;110;Solicitação de suporte número 130;0.0526
SUP-2026-0131;2026-07-12;aluno131@example.com;Acesso ao AVA;em andamento;90;Solicitação de suporte número 131;0.0426
SUP-2026-0132;2026-07-13;aluno132@example.com;Senha;em andamento;73;Solicitação de suporte número 132;0.0341
SUP-2026-0133;2026-07-14;aluno133@example.com;Instalação de programas;aberto;102;Solicitação de suporte número 133;0.0486
SUP-2026-0134;2026-07-15;aluno134@example.com;Acesso ao AVA;resolvido;61;Solicitação de suporte número 134;0.0281
SUP-2026-0135;2026-07-16;aluno135@example.com;Instalação de programas;resolvido;94;Solicitação de suporte número 135;0.0446
SUP-2026-0136;2026-07-17;aluno136@example.com;Configuração do Python;em andamento;62;Solicitação de suporte número 136;0.0286
SUP-2026-0137;2026-07-18;aluno137@example.com;Acesso ao AVA;em andamento;107;Solicitação de suporte número 137;0.0511
SUP-2026-0138;2026-07-19;aluno138@example.com;Configuração do Python;resolvido;22;Solicitação de suporte número 138;0.0085
SUP-2026-0139;2026-07-20;aluno139@example.com;Configuração do Python;resolvido;169;Solicitação de suporte número 139;0.0822
SUP-2026-0140;2026-07-21;aluno140@example.com;Execução de atividades;resolvido;178;Solicitação de suporte número 140;0.0867
SUP-2026-0141;2026-07-22;aluno141@example.com;Execução de atividades;resolvido;12;Solicitação de suporte número 141;0.0035
SUP-2026-0142;2026-07-23;aluno142@example.com;Acesso ao AVA;resolvido;50;Solicitação de suporte número 142;0.0226
SUP-2026-0143;2026-07-24;aluno143@example.com;Execução de atividades;resolvido;14;Solicitação de suporte número 143;0.0045
SUP-2026-0144;2026-07-25;aluno144@example.com;Acesso ao AVA;resolvido;93;Solicitação de suporte número 144;0.0441
SUP-2026-0145;2026-07-26;aluno145@example.com;Configuração do Python;resolvido;160;Solicitação de suporte número 145;0.0777
SUP-2026-0146;2026-07-27;aluno146@example.com;Execução de atividades;aberto;103;Solicitação de suporte número 146;0.0491
SUP-2026-0147;2026-07-28;aluno147@example.com;Execução de atividades;em andamento;70;Solicitação de suporte número 147;0.0326
SUP-2026-0148;2026-07-29;aluno148@example.com;Acesso ao AVA;resolvido;5;Solicitação de suporte número 148;0.0
SUP-2026-0149;2026-07-30;aluno149@example.com;Execução de atividades;em andamento;98;Solicitação de suporte número 149;0.0466
SUP-2026-0150;2026-07-31;aluno150@example.com;Senha;aberto;175;Solicitação de suporte número 150;0.0852
