protocolo;data;email;categoria;status;tempo_minutos;descricao
SUP-2026-0043;2026-07-04;aluno43@example.com;Acesso ao AVA;resolvido;169;Solicitação de suporte número 43
SUP-2026-0044;2026-07-05;aluno44@example.com;Configuração do Python;aberto;80;Solicitação de suporte número 44
SUP-2026-0045;2026-07-06;aluno45@example.com;Senha;em andamento;121;Solicitação de suporte número 45
SUP-2026-0046;2026-07-07;aluno46@example.com;Acesso ao AVA;resolvido;133;Solicitação de suporte número 46
SUP-2026-0047;2026-07-08;aluno47@example.com;Instalação de programas;aberto;165;Solicitação de suporte número 47
SUP-2026-0048;2026-07-09;aluno48@example.com;Configuração do Python;em andamento;44;Solicitação de suporte número 48
SUP-2026-0049;2026-07-10;aluno49@example.com;Configuração do Python;em andamento;143;Solicitação de suporte número 49
SUP-2026-0051;2026-07-12;aluno51@example.com;Configuração do Python;resolvido;9;Solicitação de suporte número 51
SUP-2026-0052;2026-07-13;aluno52@example.com;Acesso ao AVA;resolvido;83;Solicitação de suporte número 52
SUP-2026-0053;2026-07-14;aluno53@example.com;Instalação de programas;aberto;66;Solicitação de suporte número 53
SUP-2026-0054;2026-07-15;aluno54@example.com;Execução de atividades;aberto;26;Solicitação de suporte número 54
SUP-2026-0055;2026-07-16;aluno55@example.com;Senha;aberto;141;Solicitação de suporte número 55
SUP-2026-0056;2026-07-17;aluno56@example.com;Instalação de programas;em andamento;173;Solicitação de suporte número 56
SUP-2026-0057;2026-07-18;aluno57@example.com;Senha;em andamento;72;Solicitação de suporte número 57
SUP-2026-0058;2026-07-19;aluno58@example.com;Execução de atividades;resolvido;59;Solicitação de suporte número 58
SUP-2026-0059;2026-07-20;aluno59@example.com;Execução de atividades;em andamento;84;Solicitação de suporte número 59
SUP-2026-0061;2026-07-22;aluno61@example.com;Execução de atividades;resolvido;35;Solicitação de suporte número 61
SUP-2026-0062;2026-07-23;aluno62@example.com;Instalação de programas;em andamento;21;Solicitação de suporte número 62
SUP-2026-0063;2026-07-24;aluno63@example.com;Configuração do Python;aberto;155;Solicitação de suporte número 63
SUP-2026-0064;2026-07-25;aluno64@example.com;Execução de atividades;em andamento;155;Solicitação de suporte número 64
SUP-2026-0065;2026-07-26;aluno65@example.com;Instalação de programas;aberto;23;Solicitação de suporte número 65
SUP-2026-0066;2026-07-27;aluno66@example.com;Acesso ao AVA;em andamento;22;Solicitação de suporte número 66
SUP-2026-0067;2026-07-28;aluno67@example.com;Acesso ao AVA;resolvido;23;Solicitação de suporte número 67
SUP-2026-0068;2026-07-29;aluno68@example.com;Execução de atividades;em andamento;76;Solicitação de suporte número 68
SUP-2026-0069;2026-07-30;aluno69@example.com;Senha;em andamento;143;Solicitação de suporte número 69
SUP-2026-0071;2026-08-01;aluno71@example.com;Senha;resolvido;53;Solicitação de suporte número 71
SUP-2026-0072;2026-08-02;aluno72@example.com;Acesso ao AVA;aberto;173;Solicitação de suporte número 72
SUP-2026-0073;2026-08-03;aluno73@example.com;Senha;resolvido;113;Solicitação de suporte número 73
SUP-2026-0074;2026-08-04;aluno74@example.com;Senha;resolvido;18;Solicitação de suporte número 74
SUP-2026-0075;2026-08-05;aluno75@example.com;Acesso ao AVA;aberto;108;Solicitação de suporte número 75
SUP-2026-0076;2026-08-06;aluno76@example.com;Configuração do Python;aberto;68;Solicitação de suporte número 76
SUP-2026-0077;2026-08-07;aluno77@example.com;Instalação de programas;em andamento;142;Solicitação de suporte número 77
SUP-2026-0078;2026-08-08;aluno78@example.com;Senha;em andamento;113;Solicitação de suporte número 78
SUP-2026-0079;2026-08-09;aluno79@example.com;Instalação de programas;resolvido;123;Solicitação de suporte número 79
PROTOCOLO-80;2026-07-01;aluno80@example.com;Instalação de programas;aberto;118;Solicitação de suporte número 80
SUP-2026-0081;2026-07-02;aluno81@example.com;Execução de atividades;aberto;17;Solicitação de suporte número 81
SUP-2026-0082;2026-07-03;aluno82@example.com;Execução de atividades;aberto;28;Solicitação de suporte número 82
SUP-2026-0083;2026-07-04;aluno83@example.com;Instalação de programas;em andamento;109;Solicitação de suporte número 83
SUP-2026-0084;2026-07-05;aluno84@example.com;Senha;resolvido;59;Solicitação de suporte número 84
SUP-2026-0085;2026-07-06;aluno85@example.com;Senha;aberto;47;Solicitação de suporte número 85
SUP-2026-0086;2026-07-07;aluno86@example.com;Senha;aberto;104;Solicitação de suporte número 86
SUP-2026-0087;2026-07-08;aluno87@example.com;Configuração do Python;resolvido;78;Solicitação de suporte número 87
SUP-2026-0088;2026-07-09;aluno88@example.com;Senha;resolvido;44;Solicitação de suporte número 88
SUP-2026-0089;2026-07-10;aluno89@example.com;Instalação de programas;resolvido;60;Solicitação de suporte número 89
SUP-2026-0091;2026-07-12;aluno91@example.com;Acesso ao AVA;aberto;154;Solicitação de suporte número 91
SUP-2026-0092;2026-07-13;aluno92@example.com;Senha;em andamento;19;Solicitação de suporte número 92
SUP-2026-0093;2026-07-14;aluno93@example.com;Execução de atividades;aberto;52;Solicitação de suporte número 93
SUP-2026-0094;2026-07-15;aluno94@example.com;Acesso ao AVA;aberto;177;Solicitação de suporte número 94
SUP-2026-0095;2026-07-16;aluno95@example.com;Instalação de programas;resolvido;35;Solicitação de suporte número 95
SUP-2026-0096;2026-07-17;aluno96@example.com;Execução de atividades;em andamento;153;Solicitação de suporte número 96
SUP-2026-0097;2026-07-18;aluno97@example.com;Execução de atividades;aberto;163;Solicitação de suporte número 97
SUP-2026-0098;2026-07-19;aluno98@example.com;Acesso ao AVA;resolvido;173;Solicitação de suporte número 98
SUP-2026-0099;2026-07-20;aluno99@example.com;Execução de atividades;resolvido;71;Solicitação de suporte número 99
SUP-2026-0100;2026-07-21;aluno100@example.com;Instalação de programas;resolvido;2000;Solicitação de suporte número 100
SUP-2026-0101;2026-07-22;aluno101@example.com;Configuração do Python;resolvido;38;Solicitação de suporte número 101
SUP-2026-0102;2026-07-23;aluno102@example.com;Configuração do Python;resolvido;85;Solicitação de suporte número 102
SUP-2026-0103;2026-07-24;aluno103@example.com;Acesso ao AVA;aberto;122;Solicitação de suporte número 103
SUP-2026-0104;2026-07-25;aluno104@example.com;Execução de atividades;aberto;23;Solicitação de suporte número 104
SUP-2026-0105;2026-07-26;aluno105@example.com;Execução de atividades;em andamento;134;Solicitação de suporte número 105
SUP-2026-0106;2026-07-27;aluno106@example.com;Configuração do Python;em andamento;94;Solicitação de suporte número 106
SUP-2026-0107;2026-07-28;aluno107@example.com;Acesso ao AVA;em andamento;99;Solicitação de suporte número 107
SUP-2026-0108;2026-07-29;aluno108@example.com;Configuração do Python;em andamento;117;Solicitação de suporte número 108
SUP-2026-0109;2026-07-30;aluno109@example.com;Execução de atividades;resolvido;161;Solicitação de suporte número 109
SUP-2026-0110;2026-07-31;aluno110@example.com;Não classificada;aberto;175;Solicitação de suporte número 110
SUP-2026-0111;2026-08-01;aluno111@example.com;Execução de atividades;resolvido;174;Solicitação de suporte número 111
SUP-2026-0112;2026-08-02;aluno112@example.com;Acesso ao AVA;em andamento;72;Solicitação de suporte número 112
SUP-2026-0113;2026-08-03;aluno113@example.com;Acesso ao AVA;aberto;146;Solicitação de suporte número 113
SUP-2026-0114;2026-08-04;aluno114@example.com;Instalação de programas;resolvido;77;Solicitação de suporte número 114
SUP-2026-0115;2026-08-05;aluno115@example.com;Execução de atividades;em andamento;92;Solicitação de suporte número 115
SUP-2026-0116;2026-08-06;aluno116@example.com;Instalação de programas;resolvido;134;Solicitação de suporte número 116
SUP-2026-0117;2026-08-07;aluno117@example.com;Senha;resolvido;18;Solicitação de suporte número 117
SUP-2026-0118;2026-08-08;aluno118@example.com;Acesso ao AVA;resolvido;75;Solicitação de suporte número 118
SUP-2026-0119;2026-08-09;aluno119@example.com;Acesso ao AVA;aberto;90;Solicitação de suporte número 119
SUP-2026-0121;2026-07-02;aluno121@example.com;Senha;resolvido;148;Solicitação de suporte número 121
SUP-2026-0122;2026-07-03;aluno122@example.com;Acesso ao AVA;aberto;24;Solicitação de suporte número 122
SUP-2026-0123;2026-07-04;aluno123@example.com;Instalação de programas;aberto;99;Solicitação de suporte número 123
SUP-2026-0124;2026-07-05;aluno124@example.com;Execução de atividades;em andamento;115;Solicitação de suporte número 124
SUP-2026-0125;2026-07-06;aluno125@example.com;Instalação de programas;aberto;83;Solicitação de suporte número 125
SUP-2026-0126;2026-07-07;aluno126@example.com;Configuração do Python;aberto;96;Solicitação de suporte número 126
SUP-2026-0127;2026-07-08;aluno127@example.com;Instalação de programas;em andamento;175;Solicitação de suporte número 127
SUP-2026-0128;2026-07-09;aluno128@example.com;Acesso ao AVA;resolvido;148;Solicitação de suporte número 128
SUP-2026-0129;2026-07-10;aluno129@example.com;Senha;em andamento;65;Solicitação de suporte número 129
SUP-2026-0130;2026-07-11;aluno130@example.com;Instalação de programas;em andamento;110;Solicitação de suporte número 130
SUP-2026-0131;2026-07-12;aluno131@example.com;Acesso ao AVA;em andamento;90;Solicitação de suporte número 131
SUP-2026-0132;2026-07-13;aluno132@example.com;Senha;em andamento;73;Solicitação de suporte número 132
SUP-2026-0133;2026-07-14;aluno133@example.com;Instalação de programas;aberto;102;Solicitação de suporte número 133
SUP-2026-0134;2026-07-15;aluno134@example.com;Acesso ao AVA;resolvido;61;Solicitação de suporte número 134
SUP-2026-0135;2026-07-16;aluno135@example.com;Instalação de programas;resolvido;94;Solicitação de suporte número 135
SUP-2026-0136;2026-07-17;aluno136@example.com;Configuração do Python;em andamento;62;Solicitação de suporte número 136
SUP-2026-0137;2026-07-18;aluno137@example.com;Acesso ao AVA;em andamento;107;Solicitação de suporte número 137
SUP-2026-0138;2026-07-19;aluno138@example.com;Configuração do Python;resolvido;22;Solicitação de suporte número 138
SUP-2026-0139;2026-07-20;aluno139@example.com;Configuração do Python;resolvido;169;Solicitação de suporte número 139
SUP-2026-0140;2026-07-21;aluno140@example.com;Execução de atividades;resolvido;178;Solicitação de suporte número 140
SUP-2026-0141;2026-07-22;aluno141@example.com;Execução de atividades;resolvido;12;Solicitação de suporte número 141
SUP-2026-0142;2026-07-23;aluno142@example.com;Acesso ao AVA;resolvido;50;Solicitação de suporte número 142
SUP-2026-0143;2026-07-24;aluno143@example.com;Execução de atividades;resolvido;14;Solicitação de suporte número 143
SUP-2026-0144;2026-07-25;aluno144@example.com;Acesso ao AVA;resolvido;93;Solicitação de suporte número 144
SUP-2026-0145;2026-07-26;aluno145@example.com;Configuração do Python;resolvido;160;Solicitação de suporte número 145
SUP-2026-0146;2026-07-27;aluno146@example.com;Execução de atividades;aberto;103;Solicitação de suporte número 146
SUP-2026-0147;2026-07-28;aluno147@example.com;Execução de atividades;em andamento;70;Solicitação de suporte número 147
SUP-2026-0148;2026-07-29;aluno148@example.com;Acesso ao AVA;resolvido;5;Solicitação de suporte número 148
SUP-2026-0149;2026-07-30;aluno149@example.com;Execução de atividades;em andamento;98;Solicitação de suporte número 149
SUP-2026-0150;2026-07-31;aluno150@example.com;Senha;aberto;175;Solicitação de suporte número 150
